title,author,description,rating,ratingCount,reviewCount,genre,book_link
 Ways of Seeing,John Berger,"John Berger’s Classic Text on ArtJohn Berger's Ways of Seeing is one of the most stimulating and the most influential books on art in any language. First published in 1972; it was based on the BBC television series about which the (London) Sunday Times critic commented: ""This is an eye-opener in more ways than one: by concentrating on how we look at paintings . . . he will almost certainly change the way you look at pictures."" By now he has.""Berger has the ability to cut right through the mystification of the professional art critics . . . He is a liberator of images: and once we have allowed the paintings to work on us directly; we are in a much better position to make a meaningful evaluation"" —Peter Fuller; Arts Review""The influence of the series and the book . . . was enormous . . . It opened up for general attention to areas of cultural study that are now commonplace"" —Geoff Dyer in Ways of TellingWinner of the 1972 Booker Prize for his novel; G.; John Peter Berger (born November 5th; 1926) is an art critic; painter and author of many novels including A Painter of Our Time; From A to X and Bento’s Sketchbook.",3.87,262803,1636,art,https://www.goodreads.com/book/show/2784.Ways_of_Seeing
 The Story of Art,E.H. Gombrich,This text is the 16th revised and updated edition of this introduction to art; from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot; Kollwitz; Nolde; de Chirico; Brancussi; Magritte; Nicolson and Morandi. A sequence of new endings have been added; and the captions are now fuller; including the medium and dimension of the works illustrated. Six fold-outs present selected large-scale works. They are: Van Eyck's Ghent Altarpiece; Leonardo's Last Supper; Botticelli's Birth of Venus; Jackson Pollock's One (Number 31; 1950); Van der Weyden's Descent from the Cross and Michelangelo's Sistine Chapel ceiling.,3.93,320492,957,art,https://www.goodreads.com/book/show/222078.The_Story_of_Art
 The New Drawing on the Right Side of the Brain,Betty Edwards,When Drawing on the Right Side of the Brain was first published in 1979; it hit the New York Times bestseller list within two weeks and stayed there for more than a year. In 1989; when Dr. Betty Edwards revised the book; it went straight to the Times list again. Now Dr. Edwards celebrates the twentieth anniversary of her classic book with a second revised edition.Over the last decade; Dr. Edwards has refined her material through teaching hundreds of workshops and seminars. Truly The New Drawing on the Right Side of the Brain; this edition includes:the very latest developments in brain researchnew material on using drawing techniques in the corporate world and in educationinstruction on self-expression through drawingan updated section on using colordetailed information on using the five basic skills of drawing for problem solving,3.86,302244,834,art,https://www.goodreads.com/book/show/627206.The_New_Drawing_on_the_Right_Side_of_the_Brain
 Steal Like an Artist 10 Things Nobody Told You About Being Creative,Austin Kleon,You don’t need to be a genius; you just need to be yourself. That’s the message from Austin Kleon; a young writer and artist who knows that creativity is everywhere; creativity is for everyone. A manifesto for the digital age; Steal Like an Artist is a guide whose positive message; graphic look and illustrations; exercises; and examples will put readers directly in touch with their artistic side.,3.93,206572,5753,art,https://www.goodreads.com/book/show/13099738-steal-like-an-artist
 Wall and Piece,Banksy,"Banksy; Britain's now-legendary ""guerilla"" street artist; has painted the walls; streets; and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York City's major art museums; he's also ""hung"" his work at London's Tate Gallery and adorned Israel's West Bank barrier with satirical images. Banksy's identity remains unknown; but his work is unmistakable with prints selling for as much as $45;000.",3.85,206106,880,art,https://www.goodreads.com/book/show/114683.Wall_and_Piece
 The Artists Way A Spiritual Path to Higher Creativity,Julia Cameron,The Artist’s Way is the seminal book on the subject of creativity. An international bestseller; millions of readers have found it to be an invaluable guide to living the artist’s life. Still as vital today—or perhaps even more so—than it was when it was first published one decade ago; it is a powerfully provocative and inspiring work. In a new introduction to the book; Julia Cameron reflects upon the impact of The Artist’s Way and describes the work she has done during the last decade and the new insights into the creative process that she has gained. Updated and expanded; this anniversary edition reframes The Artist’s Way for a new century.,3.92,96282,2855,art,https://www.goodreads.com/book/show/615570.The_Artist_s_Way
 Girl with a Pearl Earring,Tracy Chevalier,With precisely 35 canvases to his credit; the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life; with their subtle play of light and texture; have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries—and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.Girl with a Pearl Earring centers on Vermeer's prosperous Delft household during the 1660s. When Griet; the novel's quietly perceptive heroine; is hired as a servant; turmoil follows. First; the 16-year-old narrator becomes increasingly intimate with her master. Then Vermeer employs her as his assistant—and ultimately has Griet sit for him as a model.,3.90,638064,9981,art,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring
 Art and Fear Observations on the Perils and Rewards of Artmaking,David Bayles,"""This is a book about making art. Ordinary art. Ordinary art means something like: all art not made by Mozart. After all; art is rarely made by Mozart-like people; essentially-statistically speaking-there aren't any people like that. Geniuses get made once-a-century or so; yet good art gets made all the time; so to equate the making of art with the workings of genius removes this intimately human activity to a strangely unreachable and unknowable place. For all practical purposes making art can be examined in great detail without ever getting entangled in the very remote problems of genius.""--from the Introduction",3.73,72630,1050,art,https://www.goodreads.com/book/show/187633.Art_and_Fear
 The Art Book,Phaidon Press,An A to Z guide to 500 great painters and sculptors from medieval to modern times; it debunks art historical classifications by throwing together brilliant examples of all periods; schools; visions and techniques. Each artist is represented by a full-page colour plate of a definitive work; accompanied by explanatory and illuminating information on the image and its creator. Glossaries of artistic movements and technical terms are included; making this a valuable work of reference as well as a feast for the eyes. By breaking with traditional classifications; The Art Book presents a fresh and original approach to art: an unparalleled visual sourcebook and a celebration of our rich and multi-faceted culture.,3.83,139558,267,art,https://www.goodreads.com/book/show/567616.The_Art_Book
 Concerning the Spiritual in Art,Wassily Kandinsky,"A pioneering work in the movement to free art from its traditional bonds to material reality; this book is one of the most important documents in the history of modern art. Written by the famous nonobjective painter Wassily Kandinsky (1866–1944); it explains Kandinsky's own theory of painting and crystallizes the ideas that were influencing many other modern artists of the period. Along with his own groundbreaking paintings; this book had a tremendous impact on the development of modern art.Kandinsky's ideas are presented in two parts. The first part; called ""About General Aesthetic;"" issues a call for a spiritual revolution in painting that will let artists express their own inner lives in abstract; non-material terms. Just as musicians do not depend upon the material world for their music; so artists should not have to depend upon the material world for their art. In the second part; ""About Painting;"" Kandinsky discusses the psychology of colors; the language of form and color; and the responsibilities of the artist. An Introduction by the translator; Michael T. H. Sadler; offers additional explanation of Kandinsky's art and theories; while a new Preface by Richard Stratton discusses Kandinsky's career as a whole and the impact of the book. Making the book even more valuable are nine woodcuts by Kandinsky himself that appear at the chapter headings.This English translation of Über das Geistige in der Kunst was a significant contribution to the understanding of nonobjectivism in art. It continues to be a stimulating and necessary reading experience for every artist; art student; and art patron concerned with the direction of 20th-century painting.",3.82,77650,346,art,https://www.goodreads.com/book/show/857502.Concerning_the_Spiritual_in_Art
